CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr	fitStatus
7.7	ala	0	1.11568	0.662849	0.169543	0.0846711	0.0472672	1.37063	1.30712	117543	988799	0.260272	0.0361024	0.00916663	0.00407157	1.95653e-05	5.1153e-06	0.269458	0.040179	0.390694	0.0588714	0.0295647	0.0151496	2.07151e-05	5.41117e-06	0.42028	0.0740265	0.094919	0.0134783	0.00396238	0.00177131	4.32697e-06	5.1153e-06	0.0988857	0.0152547	0.145618	0.0226085	0.00396238	0.00177131	4.32697e-06	1.12483e-06	0.149584	0.0243809	337	2	1
7.7	ala	1	1.11568	0.566796	0.0328447	0.0951748	0.00339038	0.600245	0.38288	18445.9	8694.46	0.225144	0.0331262	0.00668773	0.00167206	9.5883e-06	2.63804e-06	0.231841	0.0348009	0.337907	0.0544949	0.0207367	0.00576438	1.01559e-05	2.79153e-06	0.358654	0.0602621	0.0825766	0.012445	0.00288607	0.000724975	2.12636e-06	2.63804e-06	0.0854648	0.0131726	0.126335	0.0210293	0.00288607	0.000724975	2.12636e-06	5.81264e-07	0.129223	0.0217549	290	6	1
7.7	ala	2	1.11568	0.678897	0.00936569	0.068225	0.00043427	1.63893	0.369993	3.34815e+06	95526.8	0.184948	0.0185809	0.00875902	0.00155093	6.43463e-05	8.25024e-06	0.193771	0.0201401	0.284971	0.0311866	0.0285685	0.00561275	6.99341e-05	8.95152e-06	0.313609	0.0368083	0.0686783	0.0070536	0.00378639	0.000673661	1.61913e-05	8.25024e-06	0.0724808	0.00773551	0.107885	0.0121416	0.00378639	0.000673661	1.61913e-05	2.06066e-06	0.111687	0.0128173	226	8	1
7.7	ala	3	1.11568	0.677843	0.0626125	0.0592042	0.0179972	2.58804	1.15126	5.38173e+07	3.43836e+08	0.14172	0.0165604	0.010857	0.00877409	1.9719e-05	6.25121e-05	0.152597	0.025397	0.230957	0.029063	0.037341	0.03188	2.14717e-05	6.78909e-05	0.268319	0.0610109	0.0538265	0.00638661	0.00470419	0.00381052	5.0011e-06	6.25121e-05	0.0585357	0.0102596	0.0894595	0.0114874	0.00470419	0.00381052	5.0011e-06	1.56752e-05	0.0941687	0.0153136	160	10	1
7.7	ala	4	1.11568	0.729092	0.0249008	0.0396957	0.00790425	4.83389	2.09871	1.09677e+12	6.73577e+12	0.0939482	0.0130683	0.0121919	0.370969	4.5219e-06	0.000681796	0.106145	0.384719	0.157064	0.0235706	0.0472645	1.36411	4.93509e-06	0.000743175	0.204333	1.38843	0.0360046	0.00508766	0.00530796	0.161219	1.15761e-06	0.000681796	0.0413137	0.166989	0.0613923	0.0093972	0.00530796	0.161219	1.15761e-06	0.000173129	0.0667014	0.17079	110	11	1
7.7	ala	5	1.11568	0.342557	0.0153799	0.0862477	0.000588752	-0.206963	0.0150844	20000	1.73843	0.0465183	0.00662573	0.00236488	0.000135637	1.70441e-05	1.03189e-05	0.0489002	0.00677168	0.0787759	0.0122317	0.0073595	0.000375441	1.79855e-05	1.07828e-05	0.0861534	0.012618	0.0179402	0.0026042	0.00102044	5.82136e-05	3.41273e-06	1.03189e-05	0.0189641	0.00267273	0.0309553	0.00491435	0.00102044	5.82136e-05	3.41273e-06	1.63579e-06	0.0319792	0.0049742	59	45	1
7.7	ala	6	1.11568	0.631834	0.0620056	0.0570007	0.0163286	5.79148	3.70922	1.70002e+07	1.06559e+08	0.0110105	0.00307122	0.00181151	0.00190616	1.24802e-05	3.18903e-05	0.0128345	0.00500927	0.0200406	0.00576599	0.00665715	0.00715703	1.43768e-05	3.6561e-05	0.0267121	0.0129596	0.00436145	0.00122271	0.000787218	0.000829026	3.69975e-06	3.18903e-05	0.00515237	0.00208363	0.00806407	0.00233526	0.000787218	0.000829026	3.69975e-06	9.34583e-06	0.00885499	0.00317363	20	14	1
7.7	la_	0	1.11568	0.751961	0.502464	0.01	1.41421	0.01	1.41421	10000	1.41421	3.50651	0.186879	4.94312e-55	2.18082e-26	1.17962e-74	6.49028e-35	3.50651	0.186879	4.95402	0.28773	1.07375e-54	4.83708e-26	1.22424e-74	6.73209e-35	4.95402	0.28773	8.0141	0.580022	3.50664e-54	1.6294e-25	3.86134e-75	6.49028e-35	8.0141	0.580022	13.0756	1.08338	3.50664e-54	1.6294e-25	3.86134e-75	2.10377e-35	13.0756	1.08338	337	2	1
7.7	la_	1	1.11568	0.310119	0.0219993	0.153897	0.00244013	1.08942	0.420522	10352.5	1445.35	2.79668	0.172108	0.0329994	0.00157472	8.08382e-06	9.23203e-07	2.82968	0.173683	3.96114	0.266765	0.0875459	0.00423237	8.36318e-06	9.54618e-07	4.0487	0.270998	6.44591	0.544023	0.39968	0.0197356	2.49513e-06	9.23203e-07	6.84559	0.56376	10.5316	1.01726	0.39968	0.0197356	2.49513e-06	2.8209e-07	10.9313	1.037	290	6	1
7.7	la_	2	1.11568	0.549835	0.00393169	0.109522	0.00131087	2.38032	0.244691	263888	26561.2	1.9708	0.0989232	0.0267939	0.00156198	4.95688e-06	4.00604e-07	1.9976	0.100486	2.8086	0.155107	0.0715317	0.00425725	5.12865e-06	4.14339e-07	2.88014	0.159364	4.64606	0.323882	0.330011	0.0203024	1.53272e-06	4.00604e-07	4.97607	0.344185	7.66058	0.612096	0.330011	0.0203024	1.53272e-06	1.2301e-07	7.99059	0.632399	226	8	1
